QUESTION,ANSWER_CHOICE,Q_UNDERGOER,A_UNDERGOER,UNDERGOER_SCORE,Q_ENABLER,A_ENABLER,ENABLER_SCORE,Q_TRIGGER,A_TRIGGER,TRIGGER_SCORE,Q_RESULT,A_RESULT,RESULT_SCORE,Q_UNDERSPECIFIED,A_UNDERSPECIFIED,UNDERSPECIFIED_SCORE,CORRECT_ANSWER,PREDICTED_ANSWER,PREDICTION
"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. ",shedding,,excess load | certain amount of load | devices,,,"the age or immune status of the animals | the same effects | -lrb- tu ~ 1.0 % -rrb- | this very large peak | a second-type lytic enzyme , referred to as gamete wall-autolysin '' -lrb- 2 -rrb- | available supply | numerical viscosity | the presence of a cervix | infections from powdery mildew | further research | an outbreak of lesions | past a blunt object | renewable generation variations | the low generation of electricity | more extensive | horizontal shear instability of the internal mode | superficial necrosis | two common attributes of carbonate platforms : their at tops and their tendency to lithify prior to burial | imbalances in the hair cycle | to slide down along | sudden temperature changes , due to the difference in the thermal expansion coefficients of tubes and deposits | loose wool fibers | nizoral | the staggered and overlapping pattern of roofing slates and shingles | more extensive infection of the host intestinal tissues with m. avium subsp | an underlying health problem , such as mites or mange | blowing/suction slots located at 110 | small fiber clippings that result from the shearing process | to service all loads | falling estrogen levels | this interaction | deficit of moisture | superficial necrosis -lsb- 76 -rsb- | the cylinder oscillation | nonlinearity | or are diseased , when fruit",,loses,dropping | operation | shutting down | tripping,0.0001,,"bring back the power balance in the system and prevent voltage and frequency decay | unrest in industry | weaken the hpv virus | either excessive or insufficient load reductions | get rid of infected cells | asymmetric mean flow patterns , as shown in pressure distributions in fig | asymmetric mean flow patterns , as shown in figure 11 , and hence recirculating flow regions of unequal | oscillatory forces which induce | a lot of troubles for city dwellers . | separate the foreskin from the head of the penis | enhance the water-harvesting performance of the shpo surfaces by facilitating condensation on",,,,,molting,shedding,FALSE
"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. ",loosening,,,,,"material deformation | peripros | and degraded | both mechanical -lrb- gradual loss of material by wear -rrb- and biological -lrb- osteoclastic resorption of adjacent bone -rrb- factors | unacceptable | lubrication | and osteolysis -lrb- bone resorption -rrb- prevails over the process of ossification | osteolysis produced by the presence of ultra-high molecular weight polyethylene -lrb- uhmwpe -rrb- wear particles | leverage | to remain in the position where it was attached to the bone | no relative rotation between the nut and bolt | many different things ; mechanical or biological | correctly | re - peated mechanical shocks which set up extremely high-frequency vibrations in fastener systems | loose for reasons other than infection or another organic disease process | the shape of the thread that is the wedge inclined to the bolt axis | to secure the drywall during installation | asymmetric | implant infections as well | than the tension in the screw-implant assembly that holds the components together -lsb- 6 -rsb- | the deformation between the bolt axis and the nut | loss of bolt stiffness caused by crack nucleation and propagation which then leads to bolt rotation | auxin producing a decrease in the viscosity of the cell wall matrix | adverse tissue reactions to particulate debris | bacterial infection | not retightening properly after changing the tension for different types of soil conditions | to remain in the position where it was attached during surgery | the generation of billions | enzymes derived from the polen coat or the advancing tube | inflammation-induced osteoclastic bone resorption | repeated mech - anical shocks which set up extremely high frequ - ency vibrations , in fastener systems | rotating a nut and the rotation | bone remodeling at the sbis | loading on the assembled components and tightening caused by | low grade infection or whether infection is promoted in the environment of loosening | lever assembly",,loses,use | capacity | result | presence,0.0000,,"encourage better rooting in the garden bed | no obvious variations of the joint stiffness | osteolysis or vice versa | clinical symptoms , surgical treatment is required | promote water escape | increase the yield of agricul - tural crops and to a great extent",,,,,molting,shedding,FALSE
"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. ",molting,,,,,hormone 20 - hydroxy ecdysone | the need for | that | glands | which | its old ______ and grows a new one,,loses,,,,a vulnerability in many animals | control body temperature the rabbits will either add or loose excess hair until the proper body temperature is reached | increased blood flow the surface of | give them new feathers to insure their aerodynamics and to insure that they have the ability to insulate their body | grow,,,,,molting,shedding,FALSE
"<span class=""blank""> </span> is a change of position. ",motion,,,,,"failure in the primary load path section 14 such as by the shearing off of the trunnion segments 48 of the nut housing | to displacements from those positions | contrast , speed and duration which constitute the ` physical ' ... | divided by time | changes in surface stress | the polarization of neutral particles , which then experience a force | patient 's unavoidable movements | something other than what is in motion | latency | forces arising from the breaking and dissipation of so-called rossby waves | a -lrb- n -rrb- ___ | undercranking | this region | the movement of the stars relative to the sun and solar system | tensional forces and results | his or her legal fees or a dispute | than 1 | polymerisation alone | exactly opposite the sun , and therefore high in the ecliptic at local midnight | at least 2 ; - disc height restoration after two years of total disc replacement -lrb- tdr -rrb- | intestinal catarrh | rotation of the radial bone | a. | motion of the probe or object being imaged | in these figures | and the mouse pointer moves | through movement | the total percep - tual changes more and make our perceptual world more stable than | blowing of wind | parallel | surface diffusion along the extended crack shape , which is together with the propagation | to negative displacement | than the frictional resistance | the output link | than unity | gravity 's effect on the path of any object that is launched or thrown | rotation of the upper body and arm 's movements | in a plane perpendicular to the longitudinal axis with the end remaining parallel | or greater | a force",,change,claim | premier | high | rate | front | world | whole,0.7663,position,"an amplitude modulation of the data , and an iterative algorithm is developed to reduce this modulation by post-processing | two distinct kinds of effects in the theory of suspension rheology . | a slow distortion of the overriding plage | fulfill this mission by providing sponsor schools with science resources | clarify facts | additional vestibular sensations of motion in the semi-circular canals , significantly increasing the magnitude of motion sickness . | restore normal biomechanics and in so doing , circulation is also improved to the area , scar tissue is reduced and the overall | dislodge plaque and remove food particles from around the gums and teeth | attract attention | rocks of this layer to be sucked toward accretionary prisms . | see well all steps in forms | achieve recognition more rapidly | achieve convergence | lots of earthquakes | activate all major muscles like calves | want to nurse or bottle feed them as the sucking/swallowing motion helps to equalize their ears from the changing air ... | remove stubborn stains | control edema formation and pump out fluid collections | improve circulation | manage presbytery 's decisionmaking in a concise manner | avert adaptation effects | evaluate diseases affecting cord and csf motion and to identify the specific pathophysiology involved | resolve discrete symmetries in optic flow",0.2500,,,,motion,motion,TRUE
"<span class=""blank""> </span> is a change of position. ",gravity,,,,,"through space | the earth 's gravity | in '' `` free fall | many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle | auxin redistribution | that air | fractality -lrb- goldenmean.info / fractalgravity -rrb- | to raise his head in the prone position | higher than your torso at a 120 degree angle | curved spacetime | static charges",,change,observer,0.0000,position,"our hearts and lungs and every other bodily organ or system to overwork in order to maintain harmony or balance . | angular momentum , what if angular momentum causes gravity | or what we see | a force on the center of mass of m g in the vertical direction leading to . | erosion gravitational erosion how does running water cause erosion types of erosion how do weathering erosion and ... | give us a lift instead | all objects near the earth 's surface to fall ... | serious changes in how our bodies function | minimize relativistic effects from any observational frames of reference within the solar system | keep the earth and sun stable in its rotation | erosion by pulling dirt , rocks and soil downward . | centripetal force ? | every object to pull every other object toward it . | all objects near earth 's surface to fall with what acceleration ? | stable in their rotation axis | hold them up -lrb- since gravity helps to keep them in place -rrb- | keep the earth stable on its axis | build bone and muscle strength",0.8824,,,,motion,motion,TRUE
The process of change from an egg to an adult butterfly is ____________.,photosynthesis,,,,,"chlorophyll | excess of excitation energy , when more pho - tons are absorbed than | different absorbance of the photoisomers involved into reaction network | to carbohydrate -lrb- sucrose and starch -rrb- | from carboxylation by rubisco to utilization of triose phosphate and the | , i.e. | in response to water stress | light-induced oxidative damage in photosystem ii | chlorophyll that produces the green pigment in plants | the accumulation of salts in the growing parts of the plant | inhibition of starch synthesis | the deprivation of phosphate -lrb- pi -rrb- for photosynthesis | different absorbance of the photoisomers involved in the reaction network -lsb- 6-7 -rsb- | with 6 carbon dioxide molecules to produce one sugar -lrb- glucose -rrb- molecule and 6 oxygen molecules | : plant type ; marine ... | the thermal tolerance of photosynthetic proteins | the electron to become reduced , or nadph | clouds | light | light energy and uses this | manganese | the sunlight and chlorophyll to convert carbon dioxide and water into glucose",,change,second,0.0000,egg|adult butterfly,"less dissolved oxygen to be ... | convert the energy in photons -lrb- the infinitesimally small packets of energy that make up light -rrb- into the chemical bonds of | oxidative damage to the primary nitrogen fixing protein , nitrogenase , that | change inorganic carbon -lrb- co2 -rrb- into organic -lrb- ch4 -rrb- | mitigate the carbon dioxide emitted from using biodiesel so there is no net | mitigate the carbon dioxide emitted during the burning of biodiesel",0.0009,,sunlight,,metamorphosis,reproduction,FALSE
The process of change from an egg to an adult butterfly is ____________.,metamorphosis,,the pieces of your sense of self back together in a way that makes you happy,,,"autophagy and apoptosis triggered by ecdysteroids -lrb- dai and gilbert | the scope of the material | the upward movement of water vapor within the snow pack | the long pause in film production after the collapse of the soviet | the action of the ring gland | too small quantities of the substance | a homoclinic or a heteroclinic intersection of the basin boundary -lrb- stable manifold -rrb- | ligand binding pocket function of drosophila usp | thyroid hormones | thyroid hormone | and molt | juvenile hormone , which is released by nearby glands | original rock into something else | and the mantle lobe is not reversed | the neuroendocrine system | arachne 's own mortification and vexation | a delay in the complete development of the oesophagus | stability with respect to perturbations transverse to the invariant manifold | such cell replacement | 38 mm -lrb- generally 6-11 weeks -rrb- | the upward movement of water vapor within the snowpack | how to suggest alternative ways to accomplish their immediate goal",,change,putting | name | fourth | time,0.0310,egg|adult butterfly,"eliminate many of the problems associated with coal drying | a severe lack of clarity that is ; loyola new orleans ; engl t125 ; fall 2012 ; conor millstein professor kelly wilson ... | differences in sex-specific allocation patterns in axolotls -lrb- ambystoma mexicanum -rrb- that have different growth histories . | resolve the forces that arise in evolving systems by providing a means by which a system 's behavior can be augmented without | degradation of | ensure each client an opportunity to live a healthy , alcohol and drug-free lifestyle | draw attention to two different aspects of your life | degradation of collagen-iv , which in turn results in activation of",0.2919,,eggs to cater - pillars -lrb- larvae -rrb- to chrysalises -lrb- pupae -rrb- | an immature form |an adult form in two or more | egg to adult in insects |adult in insects,,metamorphosis,reproduction,FALSE
The process of change from an egg to an adult butterfly is ____________.,reproduction,,"reproductions , or prints , of painted art works",,,"and exchange gametes | the male | the ovule | and there is plenty of food that can sustain the generation of | collembola-mediated changes in resource allocation and growth of wheat | the increased energetic burden | the order of the ambisonic recording -lsb- 2 -rsb- | into a head on car accident , and because they were not wearing seat belts , fly through | differences in environmental conditions -lrb- temperature , food -rrb- | a lack of basic knowledge -lrb- e.g. | differences among individuals in such factors as mortality , fertility , fecundity , mating success , and the | competi - | this phenomenon | competition for food | a proportional increase in the normal panoply of errors that ... | the menstrual cycle | the female menstrual cycle | sup - pression | pathogens | to make a new individual | the maternally transmit - | far the major defect of stereophonic reproduction | properties of the worker brood , or by the state of the mites entering cells | insufficient energy being allocated to the soma to protect it from damaging agents -lrb- e.g. | by the union of two sex cells , or gametes , a term that includes sperm and eggs -lrb- or ova -rrb- | light | a copy of itself without undergoing meiosis and fertilization | binary fission , zoosporogenesis , sporogenesis etc. | cross-fertilization | stigma accessions",,change,field | reason | existence | making | condition,0.0494,egg|adult butterfly,"equine reproduction | generate and maintain , through meiotic recombination , genetic variability , the raw material upon which natural selection acts , and -lrb- ii -rrb- to | determine the color gamut | the symptoms of malaria , which can be mild and unnoticeable or severe and deadly . | stop and think about the meaning of photography itself | find unexpected solutions for crop protection problems in current agriculture -lrb- van lenteren 1999 -rrb- | clarify the reasons why improving women 's status and rights | analyze where these veto points and institutional constraints come from and how they were | assure propagation of already-successful genotypes | see more clearly some of the elements he | prevent hybridization between the host races -lrb- feder 1998 ; see chapter 11 -rrb- | placental maldevelopment and dysfunction linked to reduced fetal weight in mice . | achieve convergence to a local optimal solution by visiting other regions of the feasible space",0.2763,,,,metamorphosis,reproduction,FALSE
To change from a solid into a liquid is to,solidify,,,,,such reconciliation | that,,change,,,,,,,,,melt,freeze,FALSE
To change from a solid into a liquid is to,melt,,,,,"to attend a particular college but then , over the course of the ... | e | that | increasing sea temperatures and how much by atmospheric and other variables | underwater volcanoes -lrb- 6,1 -rrb- | to an institution | trapolation | it | from high school intending to enroll in post-secondary education in the fall | with a pulse which creates a sufficiently steep temperature gradient | and net longwave radiation is small -lrb- fig | instabilities of melt flow | through to soils and then overland to alpine lakes , creeks | which | time | loops | companies like shell , who for decades have encouraged societys fossil fuel addiction | both thermal and solutal buoyancy forces | underwater volcanoes",,change,city | title | top | work | effect,0.0059,,"prevent | walrus crisis '' '' | helps to re-hydrate connective tissue , enhance body awareness , and quiet nervous systems . | crosslinking , partially through the oxygen linkages | reveal occluded targets | treat winter pedestrian symptoms | improve mass and heat transfer | addition of a sulphide-forming element to the melt | expel impurity phases | account for the distribution of densification observed by holland et al. | severe grain boundary corrosion | remove , in a simple way , the con taminations which are still present at the surface | slice , grate , shred and melt | resolve the ni dissolution problem as the nio solubility strongly depends on the melt",,,,,melt,freeze,FALSE
To change from a solid into a liquid is to,freeze,,access to your credit reports,,,"the bitrate of your audio setting | transaction | to respond to inputs | below the freezing point of water -lrb- 32 f or 0 c -rrb- | and then i have had 2 ct scans and mri spine doctors | exclusive mode | into an area bringing freezing temperatures | it | sudden blood flow | broken dependencies | eating ice cream -lrb- or slurpees -rrb- too fast in warm weather | on file transfer initiation during file editing | flowing to the system | advective cooling | blood vessels constricting because of exposure to cold | a thread with | by advection predominates , and a radiation freeze occurs when radiational heat loss is the predominant form of | up and stops responding | any window when the directshow player is full screen | an increased blood flow through the anterior cerebral artery , which put pressure on your brain , which causes pain",,change,security | denying | freeze,0.0308,,"helps to dry moisture in fuel tanks and lines and prevent lines from freezing . | bios corruption | push a release back as you wait for '' `` one more feature '' '' and a freeze helps to avoid this situation by drawing the much needed line in the sand | eliminate workstation damage and downtime by creating a frozen snapshot of a workstation 's configuration and settings | create the perfect crystal structure , temperature of freezing | smooth out and firm up your skin | massage out the fibrous tissue and deep bruising associated with liposuction | treat the pain associate with conditions such as diabetic neuropathy , tendonitis , bursitis and plantar fasciitis | protect plants from cold harm and freezing",,,,,melt,freeze,FALSE
What is it called when an object is moved from one position to another?,work,object,"an idea | meanings | data about people , cultures , and natural environments | an environment where young people can engage in informal educational activities",0.8789,,"looking at an opportunity flowchart you can quickly see how much work is caused by things going wrong . | help | displacement | force to an object , and when a machine is used , the . | this breach | force causing movement of an object | force to an object , and when a machine is used , the ... | poverty in pakistan | upon our values | a need to provide emergency care for family purposes | its attach ment to the usual rotatable head spindle , quill or face-plate of the lathe in usual manner | force while shortening over a distance | people issues | high demands , low decision latitude , a combination of these resulting in job strain , and lack of social support | stacks of papers | forces from two different sources | movement of artwork | compressive radial forces , which arise from the reaction of the metal with the die | some factor within his or her control | these lines | weather , workload , equipment availability and the complexity of the job | my body | too much soap | a number of factors identified by many researchers such as insecurity of job -lrb- jordan , . | pay from their employer for work that they have not actually done , or for time they have not actually put into | and that object | stress | in tandem with the performance occupying it | proton movements within the enzyme -lrb- 14 , 15 -rrb- | increased -lsb- ca2 + -rsb- c | how well things go or the results you get | resisting thresholds | against a force | to move an object | a force that creates movement | other reasons",,moved,exploring | right | turning | creating | production | observing | public,0.1458,,"disruption for weekend metrolink users . | reverse social plights , perception of black men and boys | join the dots across the known universe | ensure that we and others can live a dignified life in the | suppression of ovarian function in women . | put international agreements on core labour standards into practice | improve the conditions of health and life of people | restore these circuits of communication which in turn allows the brain/body to accelerate healing , recover functioning and manifest courage , | live a great home life - if you can learn to change | pursue : _____ truth/knowledge | earn a wage or salary in order to support the level of consuming that we believe is right for us and ... | create safe and stable environments for people living and americans working in these regions | provide for ourselves and our families money , a roof over our heads , food , medical care , and all the basic necessities | give us leisure time | getting to and from work flexible work | ensure that these initiatives highlight just how much youth work helps to facilitate the transition from education to employment | live and glorify god | allow victims of domestic violence and other violent crimes to live read more | build a bond and develop trust between the child or young person in care | glorify god | change of venue for classes for education students for 17-20 october 2011 ... | make the worker - whether a working stiff or a ceo - feel good about life . | get as much output accomplished as possible then it would be quite antithetical to exercise | create an effective hps thermodynamic cycle and control system for its work in chss of chss basing on the developed hps structure | delight clients | promote wellbeing at work | understand black holes | increase employee participation in direct deposit | unite families that have been separated | create a culture that honors god and enables people to thrive . | is to : 1 -rrb- enable us to do god 's work and grow spiritually ; 2 -rrb- allow workers to provide for their families without unduly stress - . | obtain self-satisfaction , economic independence and needs of raising family | promote faster recovery | increase wealth | work | do good both by what our work accomplishes directly and by what our work enables us to give to others | demonstrate that the vv port structures do not undergo certain types of structural damage -lrb- defined in a dedicated | minimise bias | answer this question | take care of the working self",,,attachment to the deceased |the deceased | creation to invoice |invoice | work |work,,work,work,TRUE
What is it called when an object is moved from one position to another?,gravity,object,,,,"through space | the earth 's gravity | in '' `` free fall | many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle | auxin redistribution | that air | fractality -lrb- goldenmean.info / fractalgravity -rrb- | to raise his head in the prone position | higher than your torso at a 120 degree angle | curved spacetime | static charges",,moved,observer,0.0000,,"our hearts and lungs and every other bodily organ or system to overwork in order to maintain harmony or balance . | angular momentum , what if angular momentum causes gravity | or what we see | a force on the center of mass of m g in the vertical direction leading to . | erosion gravitational erosion how does running water cause erosion types of erosion how do weathering erosion and ... | give us a lift instead | all objects near the earth 's surface to fall ... | serious changes in how our bodies function | minimize relativistic effects from any observational frames of reference within the solar system | keep the earth and sun stable in its rotation | erosion by pulling dirt , rocks and soil downward . | centripetal force ? | every object to pull every other object toward it . | all objects near earth 's surface to fall with what acceleration ? | stable in their rotation axis | hold them up -lrb- since gravity helps to keep them in place -rrb- | keep the earth stable on its axis | build bone and muscle strength",,,,,work,work,TRUE
The process of wearing away rocks by natural means is called,erosion,rocks,,,,"the force of raindrops impacting on bare soil -lrb- ellison 1944 -rrb- | place only at the surface of the polymer -lrb- analogous to peeling an onion layer by layer -rrb- | the architecture-as-planned or otherwise violate constraints or ... | climate and temperature as well as the consistency of the soil | through the action of wind and water | the chemistry of the rocks | repeated short episodes of exposure to acids | enough for saltation | away at your enamel | loss of the surface of a skin lesion | the impact of particles on the surface of pipe walls which | transport by down-slope creep under the force of | exposure of the teeth to acid | at a certain velocity through the slurry or when the slurry moves past the material at a certain velocity | the action of the wind on the soil surface | disturbance of a land surface | wave and current activity , storms , earthquakes , wind , tides | head-ward advance | climate and tem - perature as well as the consistency of the soil | wind , water , or ice wears away weathered rocks | concentration of runoff in small channels | regurgitation of gastric acids | shallow sheets of water flowing off the land | a certain threshold value , which depends on a number of factors including surface soil moisture | by wave action | with the fact that soil ... | the impact of raindrops on bare soil and by the power of running water on the soil surface | consumption of acidic foods and drinks typically those which have a ph that is below 5.7 | many natural and man-made problems | at the same rate from one area of the stone | surface scouring | rain and water flowing over land and along watercourses | weathering | a loose attachment of the epithelium to the underlying tissue | shortage of the supply from riverbed , especially the shortage of fine particle | runoff of excess irrigation water | running water | the impact of raindrops on bare or sparsely vegetated soil | dislodged from excessive wind velocity | low residue density , compacted soils and absence | at a nickpoint where elevation and slope gradient abruptly change and protective vegetation is lacking | an adjustment of the barrier island system to new hydraulic , sedimentary , and wave energy conditions -lrb- fitzgerald et al. , 1979 -rrb- | that at which the polymer is converted into water-soluble materials -lrb- resulting in | eroding of the land surface by the raindrops and consequent runoff of topsoil particles | the transfer of kinetic energy from the impacting | a fringing marsh at least 10 feet wide | waves higher on the | direct contact between cholesteatoma and bone | incomplete healing of earlier abrasions , genetic factors , and/or underlying disease -lrb- corneal dystrophy , dry eye -rrb-",,wearing,continuation | gravity | potential | determination | key,0.0000,,"prevent the loss of organic matter and plant nutrients | both '' `` on-site '' '' and '' `` off-site '' '' problems . '' | small bowel obstruction : a rare complication of laparoscopic inguinal hernia repair : ... | control its height | food insecurity due to poor agricultural | deepening of the nearshore and that allows larger waves and wave energy to reach the shore , leading to more bluff erosion . | significant tooth wear and thereby dentine exposure at all sites on the anatomical crowns of the teeth and , particularly , in the cervical ... | has been addressed in many studies -lrb- van rijin , 2011 , dean and dalrymple , 2013 and pranzini and williams , 2013 -rrb- , ... | sidewalk pocket the abc action news app brings you the latest trusted news and information . | no clinical discoloration or softening of the tooth surface and is , therefore , in the clinical situation , difficult to detect ...",,,one place | one location |another,,weathering,erosion,FALSE
The process of wearing away rocks by natural means is called,weathering,rocks,,,,"with acidic and oxidizing substances | to the atmosphere | photo-degradation of lignin in the materials | with rocks | rocks to disintegrate | it | temperature , wind , waves and the characteristic of | in a state in which they are not stable | physical changes such as changes in | heating and cooling | to temperatures , pressures and moisture conditions characteristic of the atmosphere | chemical weathering | the scouring of rocks by water , wind , or ice | purely mechanical changes to the rock | elapsed time | ice | with water , acids , and other substances to dissolve the material | directly or indirectly on minerals leading to significant alterations in the organization of the initial | into smaller pieces by | situations such as wind , rain , ice or lava that carry away materials | differences in volatilization , partitioning , chemical transformation , photo-degradation , biodegradation , or bioaccumulation of individual | rain water | the effects of changing temperature on rocks | no chemical change in the rock as it breaks down | a solid base | moisture freezing inside cracks in rock | physical and geochemical processes , which tend to alter the equilibria of minerals | down into smaller particles but not moved | water circulating through the soil and the bedrock | no carbonate correction | a gravestone to weather , or break down | down by chemical action resulting in a change in the composition of a rock | after being exposed to things like acid or oxygen | i | temperature changes causing small portions of the material to crumble and pile up on the bottom of an incline | the wetting | large impacts which pulverize rocks to soil | mechanical fracturing of rocks , such as that due to the freezing of water in cracks | physical changes such as changes in temperature , freezing and thawing | rocks to dissolve or decompose | mechanical and mostly chemical processes that take place while water in the fractures interacts with the formation larsson | macroeconomic stability",,wearing,ratio | presence | characteristic | dissolution | effect | chief | second | amount | weathering,0.0000,,"is to breakdown the earth 's soil , rocks , and minerals . | fragmentation of rock | reduce the gradient and increase the width of wave-cut surfaces | turn rocks into soil | addition to al , feiii , | achieve stability under surface conditions | billions of dollars in product damage every year , including color change | its component elements",,,,,weathering,erosion,FALSE
The continuous transfer of carbon between the atmosphere and organisms,carbon cycle,,,,,"biochemical processes | up carbon from the atmosphere | hydrologic fluctuations , particularly rainfall -lrb- pa - tra et al. , 2005 ; | heliomagnetic modulation of the cosmic ray flux | over and over again on earth | over and over | living things | human activities | into organic form through the process of photosynthesis",,transfer,existence | current | primary,0.0000,,important feedbacks to the climate and is itself particularly susceptible to extreme climate events . | impor - . | maintain global temperatures so earth 's climate does not get too hot or ... | a net carbon sink of .,,,,,carbon cycle,carbon cycle,TRUE
The continuous transfer of carbon between the atmosphere and organisms,nitrogen cycle,,,,,the ecosystem | fuel combustion,,transfer,story | standard,0.0000,,,,,,,carbon cycle,carbon cycle,TRUE
What is the process that moves pieces of rock and soil?,erosion,,,,,"the force of raindrops impacting on bare soil -lrb- ellison 1944 -rrb- | place only at the surface of the polymer -lrb- analogous to peeling an onion layer by layer -rrb- | the architecture-as-planned or otherwise violate constraints or ... | climate and temperature as well as the consistency of the soil | through the action of wind and water | the chemistry of the rocks | repeated short episodes of exposure to acids | enough for saltation | away at your enamel | loss of the surface of a skin lesion | the impact of particles on the surface of pipe walls which | transport by down-slope creep under the force of | exposure of the teeth to acid | at a certain velocity through the slurry or when the slurry moves past the material at a certain velocity | the action of the wind on the soil surface | disturbance of a land surface | wave and current activity , storms , earthquakes , wind , tides | head-ward advance | climate and tem - perature as well as the consistency of the soil | wind , water , or ice wears away weathered rocks | concentration of runoff in small channels | regurgitation of gastric acids | shallow sheets of water flowing off the land | a certain threshold value , which depends on a number of factors including surface soil moisture | by wave action | with the fact that soil ... | the impact of raindrops on bare soil and by the power of running water on the soil surface | consumption of acidic foods and drinks typically those which have a ph that is below 5.7 | many natural and man-made problems | at the same rate from one area of the stone | surface scouring | rain and water flowing over land and along watercourses | weathering | a loose attachment of the epithelium to the underlying tissue | shortage of the supply from riverbed , especially the shortage of fine particle | runoff of excess irrigation water | running water | the impact of raindrops on bare or sparsely vegetated soil | dislodged from excessive wind velocity | low residue density , compacted soils and absence | at a nickpoint where elevation and slope gradient abruptly change and protective vegetation is lacking | an adjustment of the barrier island system to new hydraulic , sedimentary , and wave energy conditions -lrb- fitzgerald et al. , 1979 -rrb- | that at which the polymer is converted into water-soluble materials -lrb- resulting in | eroding of the land surface by the raindrops and consequent runoff of topsoil particles | the transfer of kinetic energy from the impacting | a fringing marsh at least 10 feet wide | waves higher on the | direct contact between cholesteatoma and bone | incomplete healing of earlier abrasions , genetic factors , and/or underlying disease -lrb- corneal dystrophy , dry eye -rrb-",,moves,continuation | gravity | potential | determination | key,0.0140,soil,"prevent the loss of organic matter and plant nutrients | both '' `` on-site '' '' and '' `` off-site '' '' problems . '' | small bowel obstruction : a rare complication of laparoscopic inguinal hernia repair : ... | control its height | food insecurity due to poor agricultural | deepening of the nearshore and that allows larger waves and wave energy to reach the shore , leading to more bluff erosion . | significant tooth wear and thereby dentine exposure at all sites on the anatomical crowns of the teeth and , particularly , in the cervical ... | has been addressed in many studies -lrb- van rijin , 2011 , dean and dalrymple , 2013 and pranzini and williams , 2013 -rrb- , ... | sidewalk pocket the abc action news app brings you the latest trusted news and information . | no clinical discoloration or softening of the tooth surface and is , therefore , in the clinical situation , difficult to detect ...",0.0056,,one place | one location |another,,erosion,weathering,FALSE
What is the process that moves pieces of rock and soil?,weathering,,,,,"with acidic and oxidizing substances | to the atmosphere | photo-degradation of lignin in the materials | with rocks | rocks to disintegrate | it | temperature , wind , waves and the characteristic of | in a state in which they are not stable | physical changes such as changes in | heating and cooling | to temperatures , pressures and moisture conditions characteristic of the atmosphere | chemical weathering | the scouring of rocks by water , wind , or ice | purely mechanical changes to the rock | elapsed time | ice | with water , acids , and other substances to dissolve the material | directly or indirectly on minerals leading to significant alterations in the organization of the initial | into smaller pieces by | situations such as wind , rain , ice or lava that carry away materials | differences in volatilization , partitioning , chemical transformation , photo-degradation , biodegradation , or bioaccumulation of individual | rain water | the effects of changing temperature on rocks | no chemical change in the rock as it breaks down | a solid base | moisture freezing inside cracks in rock | physical and geochemical processes , which tend to alter the equilibria of minerals | down into smaller particles but not moved | water circulating through the soil and the bedrock | no carbonate correction | a gravestone to weather , or break down | down by chemical action resulting in a change in the composition of a rock | after being exposed to things like acid or oxygen | i | temperature changes causing small portions of the material to crumble and pile up on the bottom of an incline | the wetting | large impacts which pulverize rocks to soil | mechanical fracturing of rocks , such as that due to the freezing of water in cracks | physical changes such as changes in temperature , freezing and thawing | rocks to dissolve or decompose | mechanical and mostly chemical processes that take place while water in the fractures interacts with the formation larsson | macroeconomic stability",,moves,ratio | presence | characteristic | dissolution | effect | chief | second | amount | weathering,0.0156,soil,"is to breakdown the earth 's soil , rocks , and minerals . | fragmentation of rock | reduce the gradient and increase the width of wave-cut surfaces | turn rocks into soil | addition to al , feiii , | achieve stability under surface conditions | billions of dollars in product damage every year , including color change | its component elements",1.0000,,,,erosion,weathering,FALSE
"Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called:",condensation,droplets,,,,"excessive moisture in the house | what | condensation | element depletion from | a conserved current associated with the bosons | the opening of spin density wave -lrb- sdw -rrb- gap | things you do in your day | the release of latent heat as shown in | repeated heating and cooling cycles | basic catalysis of the reaction mixture | replacement of the bridge chlorine atoms by a co | rh reaching 100 % -rrb- or carbon | the enzyme | cooling | forced ventilation with air of a dew-point temperature higher than the temperature of the tubers | which | into contact with cool surfaces , such as glass | wet air -lrb- inside of girders -rrb- | to the point where the relative humidity is approximately",,fall,context | union | base | key | tenant | quantity,0.0066,,more damage than inside condensation and not many people know about it . | alleviate this problem by shortening the effective length of the chromosome | make the spirit smooth | helps to ...,,,gas |liquid | a vapor |a liquid | a gas |a liquid | a vapour |a liquid,,precipitation,precipitation,TRUE
