,entailScore,sentence1,sentence2
550,1.0,need, sleep apnea syndrome which leaves victims unaware of the source of their daytime sleepiness 
551,1.0,need, in a terrestrial environment or have their bodies submerged in water but their nares at the surface 
552,1.0,need, the process 
553,1.0,need, a lack of breathing 
554,1.0,need," sleeping at altitudes higher than about 15,000 feet"
555,0.0001,need,a filter that traps the solute on one side 
556,0.0001,need, from a dilute saline solution through a membrane into a higher concentrated saline solution 
557,0.0001,need, a macroscopic solution in the composite 
558,0.0001,need, a semi-permeable membrane -lrb- such as a root cell wall 
559,0.0001,need, into your plumbing system 
560,0.0001,need, a chemical reaction between water and unreacted substances remaining in the manufactured hull 
561,0.0001,need, numerous researches 
562,0.0001,need, from a dilute saline solution through a membrane into a higher concentrated saline 
563,0.0001,need, the free energy of the solvent molecule in two regions 
564,0.0001,need," across the membrane against the concentration gradient , from lower concentration to higher concentration "
565,0.0001,need, by a differentially permeable membrane 
566,0.0001,need, certain kinds of membranes 
567,0.0001,need, an electrical 
568,0.0001,need, a semi-permeable membrane that allows water to run through while capturing most dissolved substances in the 
569,0.0001,need, a high concentration and a low concentration 
570,0.0001,need, by a semipermeable membrane 
571,0.0001,need, electromagnetic forces -lrb- static to be precise -rrb- and these forces 
572,0.0001,need, water 
573,0.0001,need, a semi-permeable material -lrb- eg 
574,0.0001,need, a membrane 
575,0.0001,need," a filter that traps the impurities like -lrb- bacteria , virus , organic & inorganic impurities and other "
576,0.0001,need, the colon 
577,0.0001,need, application of electrical potential gradient across the membrane 
578,0.0001,need, water seeping 
579,0.0001,need, a semi permeable membrane 
580,0.0001,need, lengthwise through 
581,0.0001,need, from a dilute saline solution in one 
582,0.0001,need, a membrane wall 
583,0.0001,need, a membrane from a concentrated solution to a dilute solution to produce filtered 
584,0.0001,need, across the membrane 
585,0.0001,need, columbic forces which are induced by the applied electric field in the soil 
586,0.0001,need, a semi-permeable membrane
587,1.0,water,temperature changes of the water 
588,1.0,water, creep of the membrane plastic 
589,1.0,water, back to liquid 
590,1.0,water, the bonds that solidify the wax 
591,1.0,water, through a change that does n't alter its chemical nature
592,0.0044,water,as a result of the change 
593,0.0044,water, themselves in 
594,0.0044,water, a change in the arrangement of the atoms involved so a different substance with different properties is produced 
595,0.0044,water, electrical energy applied from some external source 
596,0.0044,water, with oxygen 
597,0.0044,water, a cake that my family enjoys 
598,0.0044,water, shaking
599,0.0,deep,this
600,0.0,deep,without identification 
601,0.0,deep, egg color 
602,0.0,deep, a difference from the background model that
603,0.0012,feature,"economic status , technology , health , education , information , skills , infrastructure , access to assets , and management "
604,0.0012,feature, their realization in accordance with 
605,0.0012,feature," under - standing within a given framework , a given set of organizational norms "
606,0.0012,feature, from their conditions 
607,0.0012,feature, some other factors and instant dis 
608,0.0012,feature, the toll of creeping normalcy and the constant 
609,0.0012,feature, an explicit client re - quest which can be an 
610,0.0012,feature, work activities 
611,0.0012,feature," a result the success of adaptation depends on factors such as economic status , technology , health , education , information skills , infrastructure , access to ... "
612,0.0012,feature, contacts and interactions between different cultures 
613,0.0012,feature," , even for a short period of time "
614,0.0012,feature, within 48 hours however 
615,0.0012,feature, selection of host-dependent as well as host-independent mutations that result in heightened exploitation of the 
616,0.0012,feature, natural and artificial selection in the captive environment 
617,0.0012,feature, desensitization of phototransduction in rods 
618,0.0012,feature," for temporal and spatial factors , when policies contradict one another and create "
619,0.0012,feature, by means other than 
620,0.0012,feature, how to use the technological tools available to achieve their communication goals 
621,0.0012,feature, genetic accommodation of a physiological life-history shift originally only expressed by plasticity 
622,0.0012,feature, an anti-predator adaptation 
623,0.0012,feature, introducing a 3-d representation of the stimuli 
624,0.0012,feature, how to use the technological tools available and achieve their communication aims despite technological 
625,0.0012,feature, the activity fatigue of the neuron 
626,0.0012,feature, part of what has been learnt quickly being forgotten 
627,0.0012,feature, interaction with the environment 
628,0.0012,feature, recalibration of sensory-motor-transform signals 
629,0.0012,feature, the loose fitting appliance.loose fitting appliance 
630,0.0012,feature, risk 
631,0.0012,feature, that 
632,0.0012,feature, co-operation and adaptability of person with organization 
633,0.0012,feature, through the adaptive element onto or off the storage capacitor 
634,0.0012,feature, stress 
635,0.0012,feature, introducing a 3-d repre - sentation of the stimuli 
636,0.0012,feature, low temperatures 
637,0.0012,feature," : the morphological changes related to ontogeny -lrb- lovett and felder , ... "
638,0.0012,feature, viewing a high contrast bar pattern and evidence of reduced sensitivity 
639,0.0012,feature, helpful to the continuation of the species in a changed environment 
640,0.0012,feature, overtraining it is usually too late to effectively reverse the condition of the athlete 
641,0.0012,feature, synaptic depression and slow afterhyperpolarization 
642,0.0012,feature, with a variety of situ 
643,0.0012,feature, what they are doing at the lower level based on their talk 
644,0.0012,feature, search of ways to study and understand unconscious and 
645,0.0012,feature, ampk 
646,0.0012,feature, chemical reactions 
647,0.0012,feature, light which strikes those parts of the retina that are tested 
648,0.0012,feature, feedback control of snf1 protein and its phosphorylation 
649,0.0012,feature, to the adapted 
650,0.0012,feature, depletion of releasable neurotransmitter 
651,0.0012,feature, bentazone 
652,0.0012,feature, maximal functional loading 
653,0.0012,feature," exposure to an adapting light bright enough to bleach a substantial number of visual pigment molecules , "
654,0.0012,feature, ileum-derived glucagon-like peptide-2 
655,0.0012,feature, to integrate transition into her life 
656,0.0012,feature," a change in movement based on a perceived sensory error -lrb- bastian , 2008 -rrb- "
657,0.0012,feature, thestructures
658,1.0,feature,direct compression 
659,1.0,feature, human activity 
660,1.0,feature, the motor 
661,1.0,feature, humans 
662,1.0,feature, the same business structure 
663,1.0,feature," wealth , technology , education , information , skills , "
664,1.0,feature, population density and age distribution 
665,1.0,feature," global eustatic causes , regional hydroisostatic causes , and local tectonic causes "
666,1.0,feature," wealth , technology , education , information , skills , infrastructure , access to "
667,1.0,feature, water intake 
668,1.0,feature, any of the following 
669,1.0,feature, than learning anxiety under conditions of psychological safety 
670,1.0,feature, swelling of the shale 
671,1.0,feature, depletion of the lubricant and/or modification of the lubricant optical properties under laser beam exposure 
672,1.0,feature, in each domain 
673,1.0,feature," what he is , not when he tries to become what he is not "
674,1.0,feature, hydrated 
675,1.0,feature, environment 
676,1.0,feature, redistribution of the water mole - cules among those states 
677,1.0,feature," factors such as biotic processes , variations in solar radiation received by earth , plate tectonics , and volcanic eruptions "
678,1.0,feature, which 
679,1.0,feature," at the behavior , setting , or subject in question "
680,1.0,feature, man 
681,1.0,feature, reorientation of the side chains and the multilayer changes colour from blue to red 
682,1.0,feature, control and benefit 
683,1.0,feature," political , technological , economical and societal reasons "
684,1.0,feature, self-examination 
685,1.0,feature, rearrangement of hydrogen bonds within the cellulose and protein matrix of the guitar 's wooden components 
686,1.0,feature, burning dirty fuels 
687,1.0,feature, faculty error 
688,1.0,feature, black women 's rage 
689,1.0,feature," mutation of the gene -lrb- hereditary , sporadic -rrb- "
690,1.0,feature," tectonism , sediment supply , compaction , and eustatic movements "
691,1.0,feature," wealth , technology , education , information , skills , infrastructure , access to resources and management "
692,1.0,feature, the same or a larger percentage of lean weight to fat weight 
693,1.0,feature, both natural and human causes 
694,1.0,feature, a new or different substance 
695,1.0,feature, known natural external causes alone 
696,1.0,feature, specific experiences 
697,1.0,feature, conflict 
698,1.0,feature, transparency 
699,1.0,feature," the desire to try , to care , to start again "
700,1.0,feature, thickening of the iris related to inflammatory cell infiltration and leakage of the iris vasculature
701,0.0,way,the cycfr phase shtft pattern of lissajous figures -lrb- ard/or particle indicated in figure 2
702,0.0,planet,the cycfr phase shtft pattern of lissajous figures -lrb- ard/or particle indicated in figure 2
703,0.1552,way,deflection of the converging winds 
704,0.1552,way, together this is root rotation 
705,0.1552,way," si , sacrotuberous , and sacrospinous ligament disruption "
706,0.1552,way, elastic distortion of the crystal and accommodation between the pillar top and the compression anvil 
707,0.1552,way, and exits the rock 
708,0.1552,way, outflow of plasma 
709,0.1552,way, artifacts of preparation 
710,0.1552,way, the movement of colder higher pressure air that is moving away from the poles towards the equator being affected by the rotation of the 
711,0.1552,way, the conservation of anglar momentum 
712,0.1552,way, alignment 
713,0.1552,way, release of shear stress along intruded shear fractures 
714,0.1552,way, two pairs of rollers mounted on two laterally extending studs on the bolt head 
715,0.1552,way, ligamentous tension .4 
716,0.1552,way, additional time above the scheduled hours 
717,0.1552,way, means of a clock type spring 32 
718,0.1552,way, tightening of the posterior capsule and muscular tightness over time 
719,0.1552,way, a functioning vestibular system 
720,0.1552,way, quantum interference of different excitation pathways 
721,0.1552,way, which 
722,0.1552,way, and this gives another symmetry of order two 
723,0.1552,way, beating 
724,0.1552,way, procession of the equinoxes 
725,0.1552,way, cleavage of the lactone rather than by a change in the sugar function 
726,0.1552,way, tilting of the head and through ocular torsion 
727,0.1552,way, shielding of resonant perturbations and by the distortion of magnetic flux surfaces enhancing neoclassical 
728,0.1552,way," henseke , l 2 "
729,0.1552,way, direction of vortex core magnetization 
730,0.1552,way, sets of dislocations that are 
731,0.1552,way, contraction of obliquely oriented myocardial fibers 
732,0.1552,way, periodic oscillations of the platform 
733,0.1552,way, realignment of the rotor dna 
734,0.1552,way, the scheduled hours 
735,0.1552,way, move - ments of the cilia of the spermatozoids 
736,0.1552,way," , airway partition and flow disturbance "
737,0.1552,way, approximately oscillatory behavior of both the predator and prey 
738,0.1552,way, inward 
739,0.1552,way, muscle 
740,0.1552,way, the design of the alt-az 
741,0.1552,way, the turns as it should
742,0.1552,planet,deflection of the converging winds 
743,0.1552,planet, together this is root rotation 
744,0.1552,planet," si , sacrotuberous , and sacrospinous ligament disruption "
745,0.1552,planet, elastic distortion of the crystal and accommodation between the pillar top and the compression anvil 
746,0.1552,planet, and exits the rock 
747,0.1552,planet, outflow of plasma 
748,0.1552,planet, artifacts of preparation 
749,0.1552,planet, the movement of colder higher pressure air that is moving away from the poles towards the equator being affected by the rotation of the 
750,0.1552,planet, the conservation of anglar momentum 
751,0.1552,planet, alignment 
752,0.1552,planet, release of shear stress along intruded shear fractures 
753,0.1552,planet, two pairs of rollers mounted on two laterally extending studs on the bolt head 
754,0.1552,planet, ligamentous tension .4 
755,0.1552,planet, additional time above the scheduled hours 
756,0.1552,planet, means of a clock type spring 32 
757,0.1552,planet, tightening of the posterior capsule and muscular tightness over time 
758,0.1552,planet, a functioning vestibular system 
759,0.1552,planet, quantum interference of different excitation pathways 
760,0.1552,planet, which 
761,0.1552,planet, and this gives another symmetry of order two 
762,0.1552,planet, beating 
763,0.1552,planet, procession of the equinoxes 
764,0.1552,planet, cleavage of the lactone rather than by a change in the sugar function 
765,0.1552,planet, tilting of the head and through ocular torsion 
766,0.1552,planet, shielding of resonant perturbations and by the distortion of magnetic flux surfaces enhancing neoclassical 
767,0.1552,planet," henseke , l 2 "
768,0.1552,planet, direction of vortex core magnetization 
769,0.1552,planet, sets of dislocations that are 
770,0.1552,planet, contraction of obliquely oriented myocardial fibers 
771,0.1552,planet, periodic oscillations of the platform 
772,0.1552,planet, realignment of the rotor dna 
773,0.1552,planet, the scheduled hours 
774,0.1552,planet, move - ments of the cilia of the spermatozoids 
775,0.1552,planet," , airway partition and flow disturbance "
776,0.1552,planet, approximately oscillatory behavior of both the predator and prey 
777,0.1552,planet, inward 
778,0.1552,planet, muscle 
779,0.1552,planet, the design of the alt-az 
780,0.1552,planet, the turns as it should
781,0.0399,way,through space 
782,0.0399,way, the earth 's gravity 
783,0.0399,way, in '' `` free fall 
784,0.0399,way," many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle "
785,0.0399,way, auxin redistribution 
786,0.0399,way, that air 
787,0.0399,way, fractality -lrb- goldenmean.info / fractalgravity -rrb- 
788,0.0399,way, to raise his head in the prone position 
789,0.0399,way, higher than your torso at a 120 degree angle 
790,0.0399,way, curved spacetime 
791,0.0399,way, static charges
792,0.0399,planet,through space 
793,0.0399,planet, the earth 's gravity 
794,0.0399,planet, in '' `` free fall 
795,0.0399,planet," many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle "
796,0.0399,planet, auxin redistribution 
797,0.0399,planet, that air 
798,0.0399,planet, fractality -lrb- goldenmean.info / fractalgravity -rrb- 
799,0.0399,planet, to raise his head in the prone position 
800,0.0399,planet, higher than your torso at a 120 degree angle 
801,0.0399,planet, curved spacetime 
802,0.0399,planet, static charges
803,0.0,light energy,that
804,0.0,sugars,that
805,0.2675,light energy,to ammonium through the use of a nitrogenase 
806,0.2675,light energy, the rhizobium meliloti fdx n gene encoding a ferredoxin-like protein 
807,0.2675,light energy, this gene 
808,0.2675,light energy, and nitrogen is added to organic compounds 
809,0.2675,light energy," human activity -lrb- use of nitrogen fertilizer , planting of nitrogen-fixing crops , release of reactive nitrogen from "
810,0.2675,light energy, iron 
811,0.2675,light energy, atmospheric nitrogen -lrb- which exists as a diatomic gas : n2 -rrb- in - to ammonia : 
812,0.2675,light energy, bacteria 
813,0.2675,light energy, to form nodules filled with bacteria on the plant roots
814,0.2675,sugars,to ammonium through the use of a nitrogenase 
815,0.2675,sugars, the rhizobium meliloti fdx n gene encoding a ferredoxin-like protein 
816,0.2675,sugars, this gene 
817,0.2675,sugars, and nitrogen is added to organic compounds 
818,0.2675,sugars," human activity -lrb- use of nitrogen fertilizer , planting of nitrogen-fixing crops , release of reactive nitrogen from "
819,0.2675,sugars, iron 
820,0.2675,sugars, atmospheric nitrogen -lrb- which exists as a diatomic gas : n2 -rrb- in - to ammonia : 
821,0.2675,sugars, bacteria 
822,0.2675,sugars, to form nodules filled with bacteria on the plant roots
823,1.0,light energy,chlorophyll 
824,1.0,light energy," excess of excitation energy , when more pho - tons are absorbed than "
825,1.0,light energy, different absorbance of the photoisomers involved into reaction network 
826,1.0,light energy, to carbohydrate -lrb- sucrose and starch -rrb- 
827,1.0,light energy, from carboxylation by rubisco to utilization of triose phosphate and the 
828,1.0,light energy," , i.e. "
829,1.0,light energy, in response to water stress 
830,1.0,light energy, light-induced oxidative damage in photosystem ii 
831,1.0,light energy, chlorophyll that produces the green pigment in plants 
832,1.0,light energy, the accumulation of salts in the growing parts of the plant 
833,1.0,light energy, inhibition of starch synthesis 
834,1.0,light energy, the deprivation of phosphate -lrb- pi -rrb- for photosynthesis 
835,1.0,light energy, different absorbance of the photoisomers involved in the reaction network -lsb- 6-7 -rsb- 
836,1.0,light energy, with 6 carbon dioxide molecules to produce one sugar -lrb- glucose -rrb- molecule and 6 oxygen molecules 
837,1.0,light energy, : plant type ; marine ... 
838,1.0,light energy, the thermal tolerance of photosynthetic proteins 
839,1.0,light energy," the electron to become reduced , or nadph "
840,1.0,light energy, clouds 
841,1.0,light energy, light 
842,1.0,light energy, light energy and uses this 
843,1.0,light energy, manganese 
844,1.0,light energy, the sunlight and chlorophyll to convert carbon dioxide and water into glucose
845,1.0,sugars,chlorophyll 
846,1.0,sugars," excess of excitation energy , when more pho - tons are absorbed than "
847,1.0,sugars, different absorbance of the photoisomers involved into reaction network 
848,1.0,sugars, to carbohydrate -lrb- sucrose and starch -rrb- 
849,1.0,sugars, from carboxylation by rubisco to utilization of triose phosphate and the 
850,1.0,sugars," , i.e. "
851,1.0,sugars, in response to water stress 
852,1.0,sugars, light-induced oxidative damage in photosystem ii 
853,1.0,sugars, chlorophyll that produces the green pigment in plants 
854,1.0,sugars, the accumulation of salts in the growing parts of the plant 
855,1.0,sugars, inhibition of starch synthesis 
856,1.0,sugars, the deprivation of phosphate -lrb- pi -rrb- for photosynthesis 
857,1.0,sugars, different absorbance of the photoisomers involved in the reaction network -lsb- 6-7 -rsb- 
858,1.0,sugars, with 6 carbon dioxide molecules to produce one sugar -lrb- glucose -rrb- molecule and 6 oxygen molecules 
859,1.0,sugars, : plant type ; marine ... 
860,1.0,sugars, the thermal tolerance of photosynthetic proteins 
861,1.0,sugars," the electron to become reduced , or nadph "
862,1.0,sugars, clouds 
863,1.0,sugars, light 
864,1.0,sugars, light energy and uses this 
865,1.0,sugars, manganese 
866,1.0,sugars, the sunlight and chlorophyll to convert carbon dioxide and water into glucose
867,0.3227,light energy,at the saturation condition and the heat provided by the wall 
868,0.3227,light energy, the temperature of the waste 
869,0.3227,light energy," , a complete reversal of the other situ - ations "
870,0.3227,light energy, rapid warming of the particles which are either sedimenting and/or are blown downward 
871,0.3227,light energy," in a dry , sealed bottle "
872,0.3227,light energy, the inlet of hot gases -lrb- dispersed phase -rrb- 
873,0.3227,light energy, the capillary rise of groundwater into the evaporation-influenced soil zone 
874,0.3227,light energy, which 
875,0.3227,light energy, at a depth of 1/7 
876,0.3227,light energy, and the tiny droplets of liquid are converted into vapor 
877,0.3227,light energy, warm enough that they turn into vapours and leave the cup and escape into the air 
878,0.3227,light energy, temperatures well in excess of melt temperature of the powder particles -lrb- gao 
879,0.3227,light energy, in the discharge tube and the the basic substances has a boiling point above latter may be 
880,0.3227,light energy, the diffusion of vapour 
881,0.3227,light energy, transport of heat from the soil surface into the soil profile 
882,0.3227,light energy, a longer residing time of particle inside the plasma 
883,0.3227,light energy, an increased energy present and occurs rapidly 
884,0.3227,light energy, the kinetic isotope effect 
885,0.3227,light energy, microscopic processes just outside the '' `` horizon 
886,0.3227,light energy, high dust temperature 
887,0.3227,light energy, out overnight and the water level is found to drop
888,0.3227,sugars,at the saturation condition and the heat provided by the wall 
889,0.3227,sugars, the temperature of the waste 
890,0.3227,sugars," , a complete reversal of the other situ - ations "
891,0.3227,sugars, rapid warming of the particles which are either sedimenting and/or are blown downward 
892,0.3227,sugars," in a dry , sealed bottle "
893,0.3227,sugars, the inlet of hot gases -lrb- dispersed phase -rrb- 
894,0.3227,sugars, the capillary rise of groundwater into the evaporation-influenced soil zone 
895,0.3227,sugars, which 
896,0.3227,sugars, at a depth of 1/7 
897,0.3227,sugars, and the tiny droplets of liquid are converted into vapor 
898,0.3227,sugars, warm enough that they turn into vapours and leave the cup and escape into the air 
899,0.3227,sugars, temperatures well in excess of melt temperature of the powder particles -lrb- gao 
900,0.3227,sugars, in the discharge tube and the the basic substances has a boiling point above latter may be 
901,0.3227,sugars, the diffusion of vapour 
902,0.3227,sugars, transport of heat from the soil surface into the soil profile 
903,0.3227,sugars, a longer residing time of particle inside the plasma 
904,0.3227,sugars, an increased energy present and occurs rapidly 
905,0.3227,sugars, the kinetic isotope effect 
906,0.3227,sugars, microscopic processes just outside the '' `` horizon 
907,0.3227,sugars, high dust temperature 
908,0.3227,sugars, out overnight and the water level is found to drop
909,1.0,air,energy from the sun 
910,1.0,air, the complex machinations of the sun 
911,1.0,air, the movement of air masses and fractionation
912,1.0,air,excessive moisture in the house 
913,1.0,air, what 
914,1.0,air, condensation 
915,1.0,air, element depletion from 
916,1.0,air, a conserved current associated with the bosons 
917,1.0,air, the opening of spin density wave -lrb- sdw -rrb- gap 
918,1.0,air, things you do in your day 
919,1.0,air, the release of latent heat as shown in 
920,1.0,air, repeated heating and cooling cycles 
921,1.0,air, basic catalysis of the reaction mixture 
922,1.0,air, replacement of the bridge chlorine atoms by a co 
923,1.0,air, rh reaching 100 % -rrb- or carbon 
924,1.0,air, the enzyme 
925,1.0,air, cooling 
926,1.0,air, forced ventilation with air of a dew-point temperature higher than the temperature of the tubers 
927,1.0,air, which 
928,1.0,air," into contact with cool surfaces , such as glass "
929,1.0,air, wet air -lrb- inside of girders -rrb- 
930,1.0,air, to the point where the relative humidity is approximately
931,1.0,air,at the saturation condition and the heat provided by the wall 
932,1.0,air, the temperature of the waste 
933,1.0,air," , a complete reversal of the other situ - ations "
934,1.0,air, rapid warming of the particles which are either sedimenting and/or are blown downward 
935,1.0,air," in a dry , sealed bottle "
936,1.0,air, the inlet of hot gases -lrb- dispersed phase -rrb- 
937,1.0,air, the capillary rise of groundwater into the evaporation-influenced soil zone 
938,1.0,air, which 
939,1.0,air, at a depth of 1/7 
940,1.0,air, and the tiny droplets of liquid are converted into vapor 
941,1.0,air, warm enough that they turn into vapours and leave the cup and escape into the air 
942,1.0,air, temperatures well in excess of melt temperature of the powder particles -lrb- gao 
943,1.0,air, in the discharge tube and the the basic substances has a boiling point above latter may be 
944,1.0,air, the diffusion of vapour 
945,1.0,air, transport of heat from the soil surface into the soil profile 
946,1.0,air, a longer residing time of particle inside the plasma 
947,1.0,air, an increased energy present and occurs rapidly 
948,1.0,air, the kinetic isotope effect 
949,1.0,air, microscopic processes just outside the '' `` horizon 
950,1.0,air, high dust temperature 
951,1.0,air, out overnight and the water level is found to drop
952,1.0,light,a drift which extends in a direction perpendicular to the borehole so that most of the energy is reflected from the part of the tunnel 
953,1.0,light, feedback 
954,1.0,light, light rays which are directly reflected from the surface body 
955,1.0,light, the test setup 
956,1.0,light," a corresponding , real-valued , external angle of "
957,1.0,light," a rough surface , which scatters the energy equally in all "
958,1.0,light, to the curved lattice within the bulk of the crystal 
959,1.0,light," , which means there is no light which is exiting from the medium of higher impedance "
960,1.0,light, the speed of light slowing down as it enters a transparent material 
961,1.0,light, yfeo3 foreign phase which appears as an intermediate product in garnet formation 
962,1.0,light, the learner in order to better understand where to focus assistance 
963,1.0,light, a surface that is large relative to the wavelength of the signal 
964,1.0,light, large-scale waves that are tilted in such a way that an electromagnetic wave will bounce on it according to the law of reflection 
965,1.0,light, a wave which circulates in the opposite direction as the input wave 
966,1.0,light, an infrared light source located in front of the observer 
967,1.0,light," the interface between two dissimilar media , so that all of or at least part of the wave front returns into the "
968,1.0,light, a community 
969,1.0,light, curiosity and experience 
970,1.0,light, at a shorter wavelength than the adddrop reflection 
971,1.0,light, a bouncing off of a barrier 
972,1.0,light, to accept that we might not have the truth 
973,1.0,light," increased surface roughness , when the asperity on the surface is equal to or larger than the incident wavelength of light "
974,1.0,light," arterial -lrb- and particularly aortic -rrb- stiffening , which increases pulse wave velocity -lsb- 5 -rsb- "
975,1.0,light, the following : 
976,1.0,light, a change in the refraction index 
977,1.0,light, through a medium 
978,1.0,light, the moving water 
979,1.0,light," an angle , c , such that it does not enter the adjacent medium but travels along the "
980,1.0,light, superposition of propagation delays 
981,1.0,light," aerosols , which are assumed to follow the wind passively "
982,1.0,light, pleasure or pain 
983,1.0,light, the angle at which the light is hitting the glass 
984,1.0,light, a nonsense -lrb- greater than 1 -rrb- value for sin q2 
985,1.0,light," the shaula star , which lies at the tip tail of the scorpion "
986,1.0,light, warm and cold air which bend light rays coming from distant objects 
987,1.0,light, penetration of the decaying field of the evanescent wave inside the barrier 
988,1.0,light, to travel in one direction and the angle of reflection is equal to the angle 
989,1.0,light," to understand and digest their inner thoughts , feelings and actions in order to better understand and transform their "
990,1.0,light, in one 's self-construal
991,1.0,light,the difference in the speed of the wave in the two media 
992,1.0,light, cycloplegia 
993,1.0,light, towards the earth 's surface more than normal 
994,1.0,light, an abrupt change in the velocity of the upper part of a radio wave 
995,1.0,light, light rays that enter some physical object and refract in some direction 
996,1.0,light," the electrons moving from the conduction to the valence band of graphene , which "
997,1.0,light," the altered speed of light inside matter , which leads to a phase shift "
998,1.0,light, sound entering the new medium at an angle 
999,1.0,light, electrostatic plasma fields 
1000,1.0,light, ~ kilometer-scale atmospheric gravity waves
1001,0.25,force,through space 
1002,0.25,force, the earth 's gravity 
1003,0.25,force, in '' `` free fall 
1004,0.25,force," many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle "
1005,0.25,force, auxin redistribution 
1006,0.25,force, that air 
1007,0.25,force, fractality -lrb- goldenmean.info / fractalgravity -rrb- 
1008,0.25,force, to raise his head in the prone position 
1009,0.25,force, higher than your torso at a 120 degree angle 
1010,0.25,force, curved spacetime 
1011,0.25,force, static charges
1012,1.0,force,2 static coefficient of friction 
1013,1.0,force, the texture of ice grains in a slab and in surrounding 
1014,1.0,force, adhesive forces between the surfaces in sliding contact and its mechanical stiffness 
1015,1.0,force, surface roughness 
1016,1.0,force, at different velocities 
1017,1.0,force, forces between two things 
1018,1.0,force, an increase in the layer thickness 
1019,1.0,force, each other 
1020,1.0,force, loading at high stresses when the polymer chains are dragged past one 
1021,1.0,force, into contact with the outer surface of the rider and the bicycle 
1022,1.0,force, the high contact force between the sliding tip and the sapphire surface 
1023,1.0,force, one surface moving over another 
1024,1.0,force, ploughing and adhesion between contacting surface asperities 
1025,1.0,force, the molecular attraction or adhesion of the materials 
1026,1.0,force, relative motion between the workpiece material and the material of tools 
1027,1.0,force, the roughness of the 
1028,1.0,force, breakdown of the oil film 
1029,1.0,force, across a sheet of paper 
1030,1.0,force, the increase in the frictional force with the sliding distance 
1031,1.0,force, the deformation of the two contacting surfaces 
1032,1.0,force, vertical force and relative condition of contact surfaces including roughness and their types of material 
1033,1.0,force," , but not so lubricated that there is no direct friction between two surfaces "
1034,1.0,force, an interaction of both adhesion on the one hand and asperity deformation and slope on the 
1035,1.0,force, penalty force between the two collision models 
1036,1.0,force, this 
1037,1.0,force, together 
1038,1.0,force, ploughing -lrb- due to surface roughness -rrb- and adhesion -lrb- due to 
1039,1.0,force, hysteresis and adhesion 
1040,1.0,force, relative motion between two surfaces
1041,1.0,wind,the force of raindrops impacting on bare soil -lrb- ellison 1944 -rrb- 
1042,1.0,wind, place only at the surface of the polymer -lrb- analogous to peeling an onion layer by layer -rrb- 
1043,1.0,wind, the architecture-as-planned or otherwise violate constraints or ... 
1044,1.0,wind, climate and temperature as well as the consistency of the soil 
1045,1.0,wind, through the action of wind and water 
1046,1.0,wind, the chemistry of the rocks 
1047,1.0,wind, repeated short episodes of exposure to acids 
1048,1.0,wind, enough for saltation 
1049,1.0,wind, away at your enamel 
1050,1.0,wind, loss of the surface of a skin lesion 
1051,1.0,wind, the impact of particles on the surface of pipe walls which 
1052,1.0,wind, transport by down-slope creep under the force of 
1053,1.0,wind, exposure of the teeth to acid 
1054,1.0,wind, at a certain velocity through the slurry or when the slurry moves past the material at a certain velocity 
1055,1.0,wind, the action of the wind on the soil surface 
1056,1.0,wind, disturbance of a land surface 
1057,1.0,wind," wave and current activity , storms , earthquakes , wind , tides "
1058,1.0,wind, head-ward advance 
1059,1.0,wind, climate and tem - perature as well as the consistency of the soil 
1060,1.0,wind," wind , water , or ice wears away weathered rocks "
1061,1.0,wind, concentration of runoff in small channels 
1062,1.0,wind, regurgitation of gastric acids 
1063,1.0,wind, shallow sheets of water flowing off the land 
1064,1.0,wind," a certain threshold value , which depends on a number of factors including surface soil moisture "
1065,1.0,wind, by wave action 
1066,1.0,wind, with the fact that soil ... 
1067,1.0,wind, the impact of raindrops on bare soil and by the power of running water on the soil surface 
1068,1.0,wind, consumption of acidic foods and drinks typically those which have a ph that is below 5.7 
1069,1.0,wind, many natural and man-made problems 
1070,1.0,wind, at the same rate from one area of the stone 
1071,1.0,wind, surface scouring 
1072,1.0,wind, rain and water flowing over land and along watercourses 
1073,1.0,wind, weathering 
1074,1.0,wind, a loose attachment of the epithelium to the underlying tissue 
1075,1.0,wind," shortage of the supply from riverbed , especially the shortage of fine particle "
1076,1.0,wind, runoff of excess irrigation water 
1077,1.0,wind, running water 
1078,1.0,wind, the impact of raindrops on bare or sparsely vegetated soil 
1079,1.0,wind, dislodged from excessive wind velocity 
1080,1.0,wind," low residue density , compacted soils and absence "
1081,1.0,wind, at a nickpoint where elevation and slope gradient abruptly change and protective vegetation is lacking 
1082,1.0,wind," an adjustment of the barrier island system to new hydraulic , sedimentary , and wave energy conditions -lrb- fitzgerald et al. , 1979 -rrb- "
1083,1.0,wind, that at which the polymer is converted into water-soluble materials -lrb- resulting in 
1084,1.0,wind, eroding of the land surface by the raindrops and consequent runoff of topsoil particles 
1085,1.0,wind, the transfer of kinetic energy from the impacting 
1086,1.0,wind, a fringing marsh at least 10 feet wide 
1087,1.0,wind, waves higher on the 
1088,1.0,wind, direct contact between cholesteatoma and bone 
1089,1.0,wind," incomplete healing of earlier abrasions , genetic factors , and/or underlying disease -lrb- corneal dystrophy , dry eye -rrb-"
