,entailScore,sentence1,sentence2
477,0.5613,one," distill the things that are truly worth the effort , to become aware of our own patterns and habits , and to separate the signal from the "
478,0.5613,one, avoid starvation 
479,0.5613,one, understand in and out flow of migration in a state 
480,0.5613,one, remove artifacts in cigs 
481,0.5613,one, a number of problems for the 
482,0.5613,one, shed light on tajik labor migrants from an anthropological perspective 
483,0.5613,one, exposure of the pipeline in the dashed areas . 
484,0.5613,one, streamline and centralise your collection 
485,0.5613,one, reconstruct the reflectivity map of the earth from the seismic data recorded at the surface 
486,0.5613,one, a loss of motile cilia in talpid . 
487,0.5613,one, correct this incongruity between rights and protections 
488,0.5613,one," is to ready the checkpoint area for the next checkpoint , while losing neither the current version nor the checkpoint version of any page ... "
489,0.5613,one," , especially of the labour are multiple and extremely diversified , and the inventory and especially the analysis of this phenomenon ... "
490,0.5613,one, erode traditional boundaries between languages 
491,0.5613,one, problems for society
492,0.5613,region,no lateral redistribution of energy in a region of near-zero velocity 
493,0.5613,region, make it possible for states 
494,0.5613,region, transfer income from those that immigration helps to those that it hurts 
495,0.5613,region, in this area of guatemala 
496,0.5613,region, dissipate local shocks 
497,0.5613,region, provide better assistance to those in need 
498,0.5613,region, showed that scarcity of fertile land in the upper west region and the availability of fertile land in the brong . 
499,0.5613,region," transfer income from those that immigration helps to those that it hurts -lrb- hanson , 2010 -rrb- "
500,0.5613,region, secure your past ttcn-2 investments 
501,0.5613,region, a loss of motile cilia in talpid -lrb- 3 -rrb- ... 
502,0.5613,region," average wage decline of $ 1,700 . "
503,0.5613,region," distill the things that are truly worth the effort , to become aware of our own patterns and habits , and to separate the signal from the "
504,0.5613,region, avoid starvation 
505,0.5613,region, understand in and out flow of migration in a state 
506,0.5613,region, remove artifacts in cigs 
507,0.5613,region, a number of problems for the 
508,0.5613,region, shed light on tajik labor migrants from an anthropological perspective 
509,0.5613,region, exposure of the pipeline in the dashed areas . 
510,0.5613,region, streamline and centralise your collection 
511,0.5613,region, reconstruct the reflectivity map of the earth from the seismic data recorded at the surface 
512,0.5613,region, a loss of motile cilia in talpid . 
513,0.5613,region, correct this incongruity between rights and protections 
514,0.5613,region," is to ready the checkpoint area for the next checkpoint , while losing neither the current version nor the checkpoint version of any page ... "
515,0.5613,region," , especially of the labour are multiple and extremely diversified , and the inventory and especially the analysis of this phenomenon ... "
516,0.5613,region, erode traditional boundaries between languages 
517,0.5613,region, problems for society
518,0.0001,get traits,survive helps to teach participants to accomplish the swim to survive skills and standard in the shortest 
519,0.0001,get traits, similar to the ones they have evolved to survive
520,0.0001,parents,survive helps to teach participants to accomplish the swim to survive skills and standard in the shortest 
521,0.0001,parents, similar to the ones they have evolved to survive
522,0.2064,get traits,"ensure that t-annotated fields are appropriately flattened in the supertype , t. for an object type t , inherit -lrb- t , lq -rrb- calculates the join"
523,0.2064,parents,"ensure that t-annotated fields are appropriately flattened in the supertype , t. for an object type t , inherit -lrb- t , lq -rrb- calculates the join"
524,1.0,change,bsod 0x9f and verifier.exe causes bsod 0xc4 
525,1.0,change, conserve energy during winter 
526,1.0,change, lower metabolism 
527,1.0,change, problems with windows and esxi by valarking ... 
528,1.0,change, determine suitable candidates for surgery that can provide improved ejection fraction and other measures of left ventricular 
529,1.0,change, slow down all of the body 's functions in order to 
530,1.0,change, no lasting brain injury and hibernating animals show relatively ... 
531,1.0,change, the animals body temperature and metabolism to slow down and adjust to its surroundings while winter sleepers 
532,1.0,change, avoid the need to completely reboot the windows operating system and to reduce power consumption while 
533,1.0,change, save battery life 
534,1.0,change, maintain the immune system
535,0.8375,change,extract an absolute measure of the impact of 
536,0.8375,change, understand how well the defense acquisition system 
537,0.8375,change, improve the soil structure for healthy root growth of 
538,0.8375,change, gain insight into the individual 
539,0.8375,change, show how these ideals share many properties with the classical detreminantal ideals 
540,0.8375,change, observe how the dependency structure between the 
541,0.8375,change, determine what kinds of policies are better suited to improve the growth prospects of the banking sector
542,1.0,change,no lateral redistribution of energy in a region of near-zero velocity 
543,1.0,change, make it possible for states 
544,1.0,change, transfer income from those that immigration helps to those that it hurts 
545,1.0,change, in this area of guatemala 
546,1.0,change, dissipate local shocks 
547,1.0,change, provide better assistance to those in need 
548,1.0,change, showed that scarcity of fertile land in the upper west region and the availability of fertile land in the brong . 
549,1.0,change," transfer income from those that immigration helps to those that it hurts -lrb- hanson , 2010 -rrb- "
550,1.0,change, secure your past ttcn-2 investments 
551,1.0,change, a loss of motile cilia in talpid -lrb- 3 -rrb- ... 
552,1.0,change," average wage decline of $ 1,700 . "
553,1.0,change," distill the things that are truly worth the effort , to become aware of our own patterns and habits , and to separate the signal from the "
554,1.0,change, avoid starvation 
555,1.0,change, understand in and out flow of migration in a state 
556,1.0,change, remove artifacts in cigs 
557,1.0,change, a number of problems for the 
558,1.0,change, shed light on tajik labor migrants from an anthropological perspective 
559,1.0,change, exposure of the pipeline in the dashed areas . 
560,1.0,change, streamline and centralise your collection 
561,1.0,change, reconstruct the reflectivity map of the earth from the seismic data recorded at the surface 
562,1.0,change, a loss of motile cilia in talpid . 
563,1.0,change, correct this incongruity between rights and protections 
564,1.0,change," is to ready the checkpoint area for the next checkpoint , while losing neither the current version nor the checkpoint version of any page ... "
565,1.0,change," , especially of the labour are multiple and extremely diversified , and the inventory and especially the analysis of this phenomenon ... "
566,1.0,change, erode traditional boundaries between languages 
567,1.0,change, problems for society
568,0.8375,change,keep this 
569,0.8375,change," considerable acceleration of senescence symptoms in the petals , such as discoloration , wilting , anthocyanin synthesis and abscission . "
570,0.8375,change, set seed in the ovaries of a plant 
571,0.8375,change, an increase of hydrophilic colloids in the column tissue 
572,0.8375,change, inbreeding depression for fruit and seed set . 
573,0.8375,change, an increase in the amount of peroxidase activity and in the number of cell layers involved in the rejection process 
574,0.8375,change, an alteration in the physical make-up of the organic farmer 's crops and prevents the farmer from recognizing ... 
575,0.8375,change, ensure the plant will produce as many high-quality 
576,0.8375,change, feed many other animals and birds in the food chain 
577,0.8375,change, increase the fitness and survival of plants by increasing genetic diversity 
578,0.8375,change, improve the yield in okra
579,0.0,sperm,replicate the plants enabling several gardeners to 
580,0.0,sperm," a number of forested areas to be covered by exact genetic duplicates of trees , even to the point of groups of trees ... "
581,0.0,sperm," the clinical symptoms associated with malaria , sexual reproduction "
582,0.0,sperm, massive growth within the population . 
583,0.0,sperm, establish the stability of the plant
584,0.0,sperm,keep this 
585,0.0,sperm, keep this trait stable in
586,0.0,sperm,make new 
587,0.0,sperm, is to -lrb- a -rrb- produce variable offspring -lrb- b -rrb- ... 
588,0.0,sperm, mix 
589,0.0,sperm, win a never ending arms race 
590,0.0,sperm, bring two different 
591,0.0,sperm, asexual individuals of a species to spread their genes faster into the population . 
592,0.0,sperm, make new individuals so 
593,0.0,sperm," produce offspring that are exactly the same , b -rrb- produce offspring that are different from each other and the parents "
594,0.0,sperm, diversify the speciesconduces to survival
595,0.0,sperm,a rapid deterioration of the seed stocks . 
596,0.0,sperm, its disappearance from the central portion of the transmitting
597,0.001,deep,bsod 0x9f and verifier.exe causes bsod 0xc4 
598,0.001,deep, conserve energy during winter 
599,0.001,deep, lower metabolism 
600,0.001,deep, problems with windows and esxi by valarking ... 
601,0.001,deep, determine suitable candidates for surgery that can provide improved ejection fraction and other measures of left ventricular 
602,0.001,deep, slow down all of the body 's functions in order to 
603,0.001,deep, no lasting brain injury and hibernating animals show relatively ... 
604,0.001,deep, the animals body temperature and metabolism to slow down and adjust to its surroundings while winter sleepers 
605,0.001,deep, avoid the need to completely reboot the windows operating system and to reduce power consumption while 
606,0.001,deep, save battery life 
607,0.001,deep, maintain the immune system
608,0.0004,deep,no lateral redistribution of energy in a region of near-zero velocity 
609,0.0004,deep, make it possible for states 
610,0.0004,deep, transfer income from those that immigration helps to those that it hurts 
611,0.0004,deep, in this area of guatemala 
612,0.0004,deep, dissipate local shocks 
613,0.0004,deep, provide better assistance to those in need 
614,0.0004,deep, showed that scarcity of fertile land in the upper west region and the availability of fertile land in the brong . 
615,0.0004,deep," transfer income from those that immigration helps to those that it hurts -lrb- hanson , 2010 -rrb- "
616,0.0004,deep, secure your past ttcn-2 investments 
617,0.0004,deep, a loss of motile cilia in talpid -lrb- 3 -rrb- ... 
618,0.0004,deep," average wage decline of $ 1,700 . "
619,0.0004,deep," distill the things that are truly worth the effort , to become aware of our own patterns and habits , and to separate the signal from the "
620,0.0004,deep, avoid starvation 
621,0.0004,deep, understand in and out flow of migration in a state 
622,0.0004,deep, remove artifacts in cigs 
623,0.0004,deep, a number of problems for the 
624,0.0004,deep, shed light on tajik labor migrants from an anthropological perspective 
625,0.0004,deep, exposure of the pipeline in the dashed areas . 
626,0.0004,deep, streamline and centralise your collection 
627,0.0004,deep, reconstruct the reflectivity map of the earth from the seismic data recorded at the surface 
628,0.0004,deep, a loss of motile cilia in talpid . 
629,0.0004,deep, correct this incongruity between rights and protections 
630,0.0004,deep," is to ready the checkpoint area for the next checkpoint , while losing neither the current version nor the checkpoint version of any page ... "
631,0.0004,deep," , especially of the labour are multiple and extremely diversified , and the inventory and especially the analysis of this phenomenon ... "
632,0.0004,deep, erode traditional boundaries between languages 
633,0.0004,deep, problems for society
634,0.0019,deep,break up a silhouette by blending a shape 's edges with its surroundings 
635,0.0019,deep, break up the human outline 
636,0.0019,deep, hide the object 's 
637,0.0019,deep," the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . "
638,0.0019,deep, hide you 
639,0.0019,deep, reduce the odds that someone will 
640,0.0019,deep, any moving platoon to stop 
641,0.0019,deep, defeat 
642,0.0019,deep, persuade the enemy
643,0.511,sex cells,a cell separation defect . 
644,0.511,sex cells, the cell to undergo death by mitotic catastrophe . 
645,0.511,sex cells, have a cell division which allows the cell to reproduce 
646,0.511,sex cells, distribute chromosomes that have been duplicated in s phase to opposite ends of the cell before cytokinesis -lrb- fig 
647,0.511,sex cells, division abnormalities .
648,0.0004,sex cells,each of the donor spouse and the consenting spouse to be treated as the transferor of one-half the gift for gst tax purposes . 
649,0.0004,sex cells, helps to even out the foam between the two beverages 
650,0.0004,sex cells, conserve bandwidth during broadcasts 
651,0.0004,sex cells, additional strong signals in the recorded wavefield 
652,0.0004,sex cells, cut down congestion a lot too 
653,0.0004,sex cells, reuse it 
654,0.0004,sex cells," extremes in how the self , the partner , and the relationship itself are subjectively experi - enced , what is idealized one minute may be ... "
655,0.0004,sex cells," changes in the substrate level s , and that e conditions this splitting "
656,0.0004,sex cells, obtain successful yu 
657,0.0004,sex cells, escape from unbearable situations 
658,0.0004,sex cells, take higher order nonlinearities of the measurement equation into account 
659,0.0004,sex cells, control cracking 
660,0.0004,sex cells, massive confusion in family and friends 
661,0.0004,sex cells, separate the two basic problems 
662,0.0004,sex cells, increased handoff - 
663,0.0004,sex cells, resolve it 
664,0.0004,sex cells, comparable splittings in the higher vibronic bands due to 
665,0.0004,sex cells, reduce the call blocking probability 
666,0.0004,sex cells, manage two kinds of ambivalence 
667,0.0004,sex cells, more nodes in the model and therefore also more theorem prover calls .
668,1.0,sex cells,prepare a cell that will be capable of sexual reproduction : able to combine with another haploid cell to make a new organism 
669,1.0,sex cells, micronuclei to form in gfp-tailswap pollen . 
670,1.0,sex cells, gvbd and formation of a central meiotic spindle which migrates towards the ... 
671,1.0,sex cells," both self-silencing and transsilencing of all dna homologous to it , whether "
672,1.0,sex cells, avoid de - leterious effects -lrb- king 1990 -rrb- 
673,1.0,sex cells," male sterility and , hence , a serious reduction in grain set -lrb- 3 , 10 -rrb- . "
674,1.0,sex cells, aneuploidy and embryo death in mice . 
675,1.0,sex cells, a transient block to completion of the meiosis i division and suppresses the inability of cdc28 '' '' strains to execute ... '' 
676,1.0,sex cells," infertility in humans and rodents , suggesting that removal of dna damages is an essential function of ... "
677,1.0,sex cells, understand the mechanisms behind many genetic disorders and cancer
678,0.1352,liquid,prevent waterlogging 
679,0.1352,liquid, cool down the plant surface during evaporation 
680,0.1352,liquid, the plants to wilt even if soil 
681,0.1352,liquid," absorbed water to pass from the roots to all parts of the plant , and ultimately out through the stomata on the leaf surface , where it is lost as ... "
682,0.1352,liquid, reduce leaf abscission 
683,0.1352,liquid, keep leaves and plants 
684,0.1352,liquid, cool plants in extremely high temperatures 
685,0.1352,liquid, a flow of water from roots to stem and leaves . 
686,0.1352,liquid, less cooling of leaves 
687,0.1352,liquid, heavy water -lrb- deuterium or 18o -rrb- enrichment in leaves 
688,0.1352,liquid, the water table to rise and fall continuously rather than as a step function 
689,0.1352,liquid, keep plants cool 
690,0.1352,liquid, resistance to transpiration 
691,0.1352,liquid," transient water deficit , therefore the most plants suffer at least regular and daily water shortages . "
692,0.1352,liquid, keep plant leaves from cooking in the sun
693,0.8823,liquid,more damage than inside condensation and not many people know about it . 
694,0.8823,liquid, alleviate this problem by shortening the effective length of the chromosome 
695,0.8823,liquid, make the spirit smooth 
696,0.8823,liquid, helps to ...
697,0.8823,liquid,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
698,0.8823,liquid, solve these problems 
699,0.8823,liquid," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
700,0.8823,liquid, support many types of plants 
701,0.8823,liquid, predict the occurrences of 
702,0.8823,liquid, the glaciers to 
703,0.8823,liquid, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
704,0.8823,liquid," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
705,0.8823,liquid, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
706,0.8823,liquid, generate sliding in glacial lakebed terrace deposits
707,0.1352,liquid,keep the planet 's temperature stable 
708,0.1352,liquid, cooling evaporation 
709,0.1352,liquid, concentrate a non-volatile solute from a solvent by 
710,0.1352,liquid, cooling 2 
711,0.1352,liquid, create weather outdoors 
712,0.1352,liquid, the water 's salt content to increase 
713,0.1352,liquid, contrary to popular belief 
714,0.1352,liquid, helps to ... 
715,0.1352,liquid, forget suboptimal solutions that gathered enough 
716,0.1352,liquid, maintain body temperature 
717,0.1352,liquid, mainly a water deficit
718,1.0,plant,severe seed and seedling damage 
719,1.0,plant, the seeds to become pre-digested amino acids and simple sugars . 
720,1.0,plant, increased seed and seedling mor - tality from damping-off in two legume species attacked by 
721,1.0,plant, increased seed and seedling mortality from damping-off in two legume species attacked by the 
722,1.0,plant, seed rot and plant population . 
723,1.0,plant, helps to 
724,1.0,plant," activate the already existing enzymes and create new , necessary enzymes , which are the main agents in the brewing process "
725,1.0,plant," eliminate erosion , slit seeding without organics "
726,1.0,plant, low plant population . 
727,1.0,plant, protect growing seedlings from invading pathogens and to manipu -
728,0.25,plant,"supply reaction heat rather than to restore a loss in catalytic activity , which is negligible "
729,0.25,plant," the doctor to be temporarily disoriented and weakened , both before and after . "
730,0.25,plant, get the most out of the energy that is necessarily used for driving 
731,0.25,plant," improve the social , economic , physical and environmental wellbeing of our local communities "
732,0.25,plant, prevent decrypting captured sessions by later breaking into the machine and stealing the keys 
733,0.25,plant," ensure proper informed consent , which is obtained from prospective donors "
734,0.25,plant, stop further hair loss of native thinning hair and improve the survival of transplanted hair grafts 
735,0.25,plant, burn out the carbonaceous and organic fractions 
736,0.25,plant," make us spiritual people , those who live and walk by the spirit "
737,0.25,plant, pass the faith from one generation to the next 
738,0.25,plant, re-establish man in his creation mandate 
739,0.25,plant," effects such as gentrification , lack of public facilities and the local community involvement and the loss of the sense of place . "
740,0.25,plant, recover the support surface when the immobilized biocatalysts lose their degradation activity 
741,0.25,plant, reduce engine emissions 
742,0.25,plant, study the applicability of the ionic liquid itself for reuse 
743,0.25,plant, achieve better outcomes 
744,0.25,plant, regain the initial properties of the blades after a period of service 
745,0.25,plant, ensure that an individual sponge or coral will survive 
746,0.25,plant, maintain local tree species which are genetically particularly well suited to site-specific conditions 
747,0.25,plant, delayed hepatocyte dna replication by increasing er stress in mice with simple hepatic steatosis . 
748,0.25,plant, debug easier 
749,0.25,plant, aid regeneration 
750,0.25,plant, increase the quotient 
751,0.25,plant, regenerate the exhausted resins 
752,0.25,plant," conserve water , salt , and electricity "
753,0.25,plant, prolong a time lord 's life 
754,0.25,plant, form new communities 
755,0.25,plant," change that perception , allowing people to be proud to say i live/work/shop / play/visit here"
756,0.25,position,"an amplitude modulation of the data , and an iterative algorithm is developed to reduce this modulation by post-processing "
757,0.25,position, two distinct kinds of effects in the theory of suspension rheology . 
758,0.25,position, a slow distortion of the overriding plage 
759,0.25,position, fulfill this mission by providing sponsor schools with science resources 
760,0.25,position, clarify facts 
761,0.25,position," additional vestibular sensations of motion in the semi-circular canals , significantly increasing the magnitude of motion sickness . "
762,0.25,position," restore normal biomechanics and in so doing , circulation is also improved to the area , scar tissue is reduced and the overall "
763,0.25,position, dislodge plaque and remove food particles from around the gums and teeth 
764,0.25,position, attract attention 
765,0.25,position, rocks of this layer to be sucked toward accretionary prisms . 
766,0.25,position, see well all steps in forms 
767,0.25,position, achieve recognition more rapidly 
768,0.25,position, achieve convergence 
769,0.25,position, lots of earthquakes 
770,0.25,position, activate all major muscles like calves 
771,0.25,position, want to nurse or bottle feed them as the sucking/swallowing motion helps to equalize their ears from the changing air ... 
772,0.25,position, remove stubborn stains 
773,0.25,position, control edema formation and pump out fluid collections 
774,0.25,position, improve circulation 
775,0.25,position, manage presbytery 's decisionmaking in a concise manner 
776,0.25,position, avert adaptation effects 
777,0.25,position, evaluate diseases affecting cord and csf motion and to identify the specific pathophysiology involved 
778,0.25,position, resolve discrete symmetries in optic flow
779,0.8824,position,our hearts and lungs and every other bodily organ or system to overwork in order to maintain harmony or balance . 
780,0.8824,position," angular momentum , what if angular momentum causes gravity "
781,0.8824,position, or what we see 
782,0.8824,position, a force on the center of mass of m g in the vertical direction leading to . 
783,0.8824,position, erosion gravitational erosion how does running water cause erosion types of erosion how do weathering erosion and ... 
784,0.8824,position, give us a lift instead 
785,0.8824,position, all objects near the earth 's surface to fall ... 
786,0.8824,position, serious changes in how our bodies function 
787,0.8824,position, minimize relativistic effects from any observational frames of reference within the solar system 
788,0.8824,position, keep the earth and sun stable in its rotation 
789,0.8824,position," erosion by pulling dirt , rocks and soil downward . "
790,0.8824,position, centripetal force ? 
791,0.8824,position, every object to pull every other object toward it . 
792,0.8824,position, all objects near earth 's surface to fall with what acceleration ? 
793,0.8824,position, stable in their rotation axis 
794,0.8824,position, hold them up -lrb- since gravity helps to keep them in place -rrb- 
795,0.8824,position, keep the earth stable on its axis 
796,0.8824,position, build bone and muscle strength
797,0.0009,egg,less dissolved oxygen to be ... 
798,0.0009,egg, convert the energy in photons -lrb- the infinitesimally small packets of energy that make up light -rrb- into the chemical bonds of 
799,0.0009,egg," oxidative damage to the primary nitrogen fixing protein , nitrogenase , that "
800,0.0009,egg, change inorganic carbon -lrb- co2 -rrb- into organic -lrb- ch4 -rrb- 
801,0.0009,egg, mitigate the carbon dioxide emitted from using biodiesel so there is no net 
802,0.0009,egg, mitigate the carbon dioxide emitted during the burning of biodiesel
803,0.0009,adult butterfly,less dissolved oxygen to be ... 
804,0.0009,adult butterfly, convert the energy in photons -lrb- the infinitesimally small packets of energy that make up light -rrb- into the chemical bonds of 
805,0.0009,adult butterfly," oxidative damage to the primary nitrogen fixing protein , nitrogenase , that "
806,0.0009,adult butterfly, change inorganic carbon -lrb- co2 -rrb- into organic -lrb- ch4 -rrb- 
807,0.0009,adult butterfly, mitigate the carbon dioxide emitted from using biodiesel so there is no net 
808,0.0009,adult butterfly, mitigate the carbon dioxide emitted during the burning of biodiesel
809,0.2919,egg,eliminate many of the problems associated with coal drying 
810,0.2919,egg, a severe lack of clarity that is ; loyola new orleans ; engl t125 ; fall 2012 ; conor millstein professor kelly wilson ... 
811,0.2919,egg, differences in sex-specific allocation patterns in axolotls -lrb- ambystoma mexicanum -rrb- that have different growth histories . 
812,0.2919,egg, resolve the forces that arise in evolving systems by providing a means by which a system 's behavior can be augmented without 
813,0.2919,egg, degradation of 
814,0.2919,egg," ensure each client an opportunity to live a healthy , alcohol and drug-free lifestyle "
815,0.2919,egg, draw attention to two different aspects of your life 
816,0.2919,egg," degradation of collagen-iv , which in turn results in activation of"
817,0.2919,adult butterfly,eliminate many of the problems associated with coal drying 
818,0.2919,adult butterfly, a severe lack of clarity that is ; loyola new orleans ; engl t125 ; fall 2012 ; conor millstein professor kelly wilson ... 
819,0.2919,adult butterfly, differences in sex-specific allocation patterns in axolotls -lrb- ambystoma mexicanum -rrb- that have different growth histories . 
820,0.2919,adult butterfly, resolve the forces that arise in evolving systems by providing a means by which a system 's behavior can be augmented without 
821,0.2919,adult butterfly, degradation of 
822,0.2919,adult butterfly," ensure each client an opportunity to live a healthy , alcohol and drug-free lifestyle "
823,0.2919,adult butterfly, draw attention to two different aspects of your life 
824,0.2919,adult butterfly," degradation of collagen-iv , which in turn results in activation of"
825,0.2763,egg,equine reproduction 
826,0.2763,egg," generate and maintain , through meiotic recombination , genetic variability , the raw material upon which natural selection acts , and -lrb- ii -rrb- to "
827,0.2763,egg, determine the color gamut 
828,0.2763,egg," the symptoms of malaria , which can be mild and unnoticeable or severe and deadly . "
829,0.2763,egg, stop and think about the meaning of photography itself 
830,0.2763,egg, find unexpected solutions for crop protection problems in current agriculture -lrb- van lenteren 1999 -rrb- 
831,0.2763,egg, clarify the reasons why improving women 's status and rights 
832,0.2763,egg, analyze where these veto points and institutional constraints come from and how they were 
833,0.2763,egg, assure propagation of already-successful genotypes 
834,0.2763,egg, see more clearly some of the elements he 
835,0.2763,egg, prevent hybridization between the host races -lrb- feder 1998 ; see chapter 11 -rrb- 
836,0.2763,egg, placental maldevelopment and dysfunction linked to reduced fetal weight in mice . 
837,0.2763,egg, achieve convergence to a local optimal solution by visiting other regions of the feasible space
838,0.2763,adult butterfly,equine reproduction 
839,0.2763,adult butterfly," generate and maintain , through meiotic recombination , genetic variability , the raw material upon which natural selection acts , and -lrb- ii -rrb- to "
840,0.2763,adult butterfly, determine the color gamut 
841,0.2763,adult butterfly," the symptoms of malaria , which can be mild and unnoticeable or severe and deadly . "
842,0.2763,adult butterfly, stop and think about the meaning of photography itself 
843,0.2763,adult butterfly, find unexpected solutions for crop protection problems in current agriculture -lrb- van lenteren 1999 -rrb- 
844,0.2763,adult butterfly, clarify the reasons why improving women 's status and rights 
845,0.2763,adult butterfly, analyze where these veto points and institutional constraints come from and how they were 
846,0.2763,adult butterfly, assure propagation of already-successful genotypes 
847,0.2763,adult butterfly, see more clearly some of the elements he 
848,0.2763,adult butterfly, prevent hybridization between the host races -lrb- feder 1998 ; see chapter 11 -rrb- 
849,0.2763,adult butterfly, placental maldevelopment and dysfunction linked to reduced fetal weight in mice . 
850,0.2763,adult butterfly, achieve convergence to a local optimal solution by visiting other regions of the feasible space
851,0.0056,soil,prevent the loss of organic matter and plant nutrients 
852,0.0056,soil, both '' `` on-site '' '' and '' `` off-site '' '' problems . '' 
853,0.0056,soil, small bowel obstruction : a rare complication of laparoscopic inguinal hernia repair : ... 
854,0.0056,soil, control its height 
855,0.0056,soil, food insecurity due to poor agricultural 
856,0.0056,soil," deepening of the nearshore and that allows larger waves and wave energy to reach the shore , leading to more bluff erosion . "
857,0.0056,soil," significant tooth wear and thereby dentine exposure at all sites on the anatomical crowns of the teeth and , particularly , in the cervical ... "
858,0.0056,soil," has been addressed in many studies -lrb- van rijin , 2011 , dean and dalrymple , 2013 and pranzini and williams , 2013 -rrb- , ... "
859,0.0056,soil, sidewalk pocket the abc action news app brings you the latest trusted news and information . 
860,0.0056,soil," no clinical discoloration or softening of the tooth surface and is , therefore , in the clinical situation , difficult to detect ..."
861,1.0,soil,"is to breakdown the earth 's soil , rocks , and minerals . "
862,1.0,soil, fragmentation of rock 
863,1.0,soil, reduce the gradient and increase the width of wave-cut surfaces 
864,1.0,soil, turn rocks into soil 
865,1.0,soil," addition to al , feiii , "
866,1.0,soil, achieve stability under surface conditions 
867,1.0,soil," billions of dollars in product damage every year , including color change "
868,1.0,soil, its component elements
869,0.1666,gas,keep the planet 's temperature stable 
870,0.1666,gas, cooling evaporation 
871,0.1666,gas, concentrate a non-volatile solute from a solvent by 
872,0.1666,gas, cooling 2 
873,0.1666,gas, create weather outdoors 
874,0.1666,gas, the water 's salt content to increase 
875,0.1666,gas, contrary to popular belief 
876,0.1666,gas, helps to ... 
877,0.1666,gas, forget suboptimal solutions that gathered enough 
878,0.1666,gas, maintain body temperature 
879,0.1666,gas, mainly a water deficit
880,0.1666,water vapor,keep the planet 's temperature stable 
881,0.1666,water vapor, cooling evaporation 
882,0.1666,water vapor, concentrate a non-volatile solute from a solvent by 
883,0.1666,water vapor, cooling 2 
884,0.1666,water vapor, create weather outdoors 
885,0.1666,water vapor, the water 's salt content to increase 
886,0.1666,water vapor, contrary to popular belief 
887,0.1666,water vapor, helps to ... 
888,0.1666,water vapor, forget suboptimal solutions that gathered enough 
889,0.1666,water vapor, maintain body temperature 
890,0.1666,water vapor, mainly a water deficit
891,0.0,gas,more damage than inside condensation and not many people know about it . 
892,0.0,gas, alleviate this problem by shortening the effective length of the chromosome 
893,0.0,gas, make the spirit smooth 
894,0.0,gas, helps to ...
895,0.0,water vapor,more damage than inside condensation and not many people know about it . 
896,0.0,water vapor, alleviate this problem by shortening the effective length of the chromosome 
897,0.0,water vapor, make the spirit smooth 
898,0.0,water vapor, helps to ...
899,0.3224,gas,prevent waterlogging 
900,0.3224,gas, cool down the plant surface during evaporation 
901,0.3224,gas, the plants to wilt even if soil 
902,0.3224,gas," absorbed water to pass from the roots to all parts of the plant , and ultimately out through the stomata on the leaf surface , where it is lost as ... "
903,0.3224,gas, reduce leaf abscission 
904,0.3224,gas, keep leaves and plants 
905,0.3224,gas, cool plants in extremely high temperatures 
906,0.3224,gas, a flow of water from roots to stem and leaves . 
907,0.3224,gas, less cooling of leaves 
908,0.3224,gas, heavy water -lrb- deuterium or 18o -rrb- enrichment in leaves 
909,0.3224,gas, the water table to rise and fall continuously rather than as a step function 
910,0.3224,gas, keep plants cool 
911,0.3224,gas, resistance to transpiration 
912,0.3224,gas," transient water deficit , therefore the most plants suffer at least regular and daily water shortages . "
913,0.3224,gas, keep plant leaves from cooking in the sun
914,0.3224,water vapor,prevent waterlogging 
915,0.3224,water vapor, cool down the plant surface during evaporation 
916,0.3224,water vapor, the plants to wilt even if soil 
917,0.3224,water vapor," absorbed water to pass from the roots to all parts of the plant , and ultimately out through the stomata on the leaf surface , where it is lost as ... "
918,0.3224,water vapor, reduce leaf abscission 
919,0.3224,water vapor, keep leaves and plants 
920,0.3224,water vapor, cool plants in extremely high temperatures 
921,0.3224,water vapor, a flow of water from roots to stem and leaves . 
922,0.3224,water vapor, less cooling of leaves 
923,0.3224,water vapor, heavy water -lrb- deuterium or 18o -rrb- enrichment in leaves 
924,0.3224,water vapor, the water table to rise and fall continuously rather than as a step function 
925,0.3224,water vapor, keep plants cool 
926,0.3224,water vapor, resistance to transpiration 
927,0.3224,water vapor," transient water deficit , therefore the most plants suffer at least regular and daily water shortages . "
928,0.3224,water vapor, keep plant leaves from cooking in the sun
929,0.3116,gas,reduce energy consumption 
930,0.3116,gas, maintain sufficient moisture 
931,0.3116,gas, increased sweating and may result in prickly heat-type symptoms . 
932,0.3116,gas, keep alcohol levels lower in the wine as it matures 
933,0.3116,gas, materials to become stick together due to the moisture whereas low humidity causes cracks and curls . 
934,0.3116,gas, beads of water to form on exterior walls . 
935,0.3116,gas, determine how rapidly temperatures drop 
936,0.3116,gas, determine what the moisture level in the slab will be once the flooring materials are installed 
937,0.3116,gas, dry air .
938,0.3116,water vapor,reduce energy consumption 
939,0.3116,water vapor, maintain sufficient moisture 
940,0.3116,water vapor, increased sweating and may result in prickly heat-type symptoms . 
941,0.3116,water vapor, keep alcohol levels lower in the wine as it matures 
